brandName,genericName,NDC,dosage,expDate,supID,purchasePrice,sellPrice
Aldactone,sprinolactone,12365,25,12/24,1,14.56,17.88
Amoxil,amoxicillin,17863,50,12/25,1,12.34,15.99
Glucotrol,glipizide,23123,50,11/23,1,9.45,10.55
Motrin,ibuprophen,23127,80,09/22,2,2.32,4.32
Neurontin,gabapentin,23456,80,12/22,2,35.67,37.66
Zocor,simvastatin,23467,80,05/23,1,12.44,14.54
Lipitor,atorvastatin,23567,10,09/22,1,11.23,12.55
Lasix,furosemide,34321,20,04/24,1,3.22,4.33
Imdur,isosorbide,34532,30,04/23,2,12.77,14.55
Mobic,meloxicam,34543,15,09/23,1,4.65,6.76
Naprosyn,naproxen,34567,50,08/24,1,2.55,5.67
Neurontin,gabapentin,43234,40,12/22,2,33.43,40.33
Motrin,ibuprophen,45652,60,04/21,2,2.34,4.33
Ambien,zolpidem,45687,25,11/25,2,77.87,90.76
Tenormin,atenolol,45689,20,11/23,2,13.88,14.9
Aldactone,sprinolactone,45698,60,12/24,1,13.54,14.67
Lipitor,atorvastatin,56765,40,10/26,1,12.23,13.45
Plavix,clopidogrel,65456,75,03/21,1,9.33,10.43
Prilosec,omeprazole,67542,20,03/22,1,6.77,10.45
Tenormin,atenolol,67545,10,11/22,2,13.92,16.93
Tenormin,atenolol,67854,30,04/25,2,13.77,15.98
Cozaar,losartan,67876,50,09/23,1,6.77,7.89
Cozaar,losartan,78965,100,05/23,1,5.45,6.78
Tylenol,acetaminophen,78977,100,12/23,1,1.98,3.44
Ambien,zolpidem,78987,80,11/24,2,25.44,30.56
